3
0
1
1
0
1
0
0
0
5 19
1 -1 2 3
2 -1 4 5
3 -1 6 7
4 -1 8 9
5 -1 10 11
6 -1 12 13
7 -1 14 15
8 -1 16 17
9 -1 18 19
10 -1 20 21
11 -1 22 23
12 -1 24 25
13 -1 26 27
14 -1 28 29
15 -1 30 31
16 -1 32 33
17 -1 34 35
18 -1 36 37
19 -1 38 39
20 0 0 0 
21 0 0 0 
22 0 0 0 
23 0 0 0 
24 0 0 0 
25 3 0 0 
26 0 0 0 
27 3 0 0 
28 2 0 0 
29 1 0 0 
30 2 0 0 
31 1 0 0 
32 0 0 0 
33 3 0 0 
34 0 0 0 
35 2 0 0 
36 0 0 0 
37 1 0 0 
38 3 0 0 
39 2 0 0 
